genes,name,source,SystemsTerm,NonSystemsTerm,Systems_Publications,Cancer_Publications,MutationNumber,GeneNumber
GHRL|RPS6KB1|PRKAA2|RPS6|ARRB2|CTNND2|ARRB1|ATP7A|NCOA3|BSX|MAPK3|FYN|AP2M1|CA5AP1|MAPK1|TNFRSF8|HTR2C|GPR83|PIK3R1|MC3R|DFFB|HLA-F|PPARG|LAMP5|CNGA3|CREB1|MAGEB4|BLVRB|GHSR|PTPN6|CNN2|GRB2|NANOS3|GSK3A|GSK3B|CAMKK2|GYS2|DOK1,Ghrelin Signalling Pathway,NetPath,"(Ghrelin AND cancer) AND (""systems biology"" OR computational)",(Ghrelin AND cancer),5,804,419,38
PLK1|CDKN1B|KAT2B|USP7|IKBKB|AKT1|ZFAND5|REXO2|MAPK10|FOXO4|XPO1|SKP2|RAN|GADD45A|YWHAQ|MST1|YWHAH|CSNK1E|YWHAB|MAPK8|MAPK9|YWHAG|YWHAE|YWHAZ|SIRT1|SOD2|RBL2|CTNNB1|CHUK|CSNK1G2|CSNK1G3|CSNK1D|FASLG|BCL2L11|EP300|FOXO3|CCNB1|CSNK1A1|SGK1|G6PC|FOXO1|CAT|CDK2|CSNK1G1|CREBBP|FBXO32|BCL6|RALB|RALA,FoxO family signaling,PID,"(FOXO AND cancer) AND (""systems biology"" OR computational)",(FOXO AND cancer),33,788,367,49
DOCK9|RALBP1|MCF2|DOCK6|PLCG1|FARP2|DOCK10|DOCK11|ARHGEF9|ITSN1|ARHGEF7|ITSN2|ARHGAP1|ARHGAP21|ARHGDIA|DNMBP|SPATA13|FGD1|ARHGEF6|RACGAP1|BCAR3|NGEF|NME1|VAV3|VAV2|MCF2L|ARHGAP17|GIT1|APC|ARHGEF25|CDC42,Regulation of CDC42 activity,PID,"(cdc42 regulation AND cancer) AND (""systems biology"" OR computational)",(cdc42 regulation AND cancer),15,769,497,31
BTRC|CHUK|DEFB119|MAP3K14|NFKB1|NFKB2,Alternative NF-kappaB pathway,PID,"((alternative OR non-canonical) AND (NF-kappaB OR NFkB) AND cancer) AND (""systems biology"" OR computational)",((alternative OR non-canonical) AND (NF-kappaB OR NFkB) AND cancer),17,751,51,6
PTMA|SNAI1|PMAIP1|HSPD1P12|HSPA4|SMAD4|BIRC5|HUWE1|PRDX3|GAPDH|KAT2A|SMAD3|EIF4E3|LIN28B|TAF10|TAF9|KIR3DL1|PDCD10|EIF2S1|MTDH|MAX|ODC1|PEG10|CAD|GPAM|RUVBL1|RUVBL2|MTA1|UBTF|PFKM|DDX18|SUPT3H|TAF4B|TFRC|FOSL1|NBN|MYCT1|SERPINI1|MYC|TERT|SUPT7L|IREB2|NDUFAF2|POLR3D|PIM1|CDCA7|CDC25A|DKC1|BMI1|TRRAP|HMGA1|ENO1|BCAT1|TK1|E2F3|EP300|NPM1|RIOX2|SHMT1|RCC1|CCNB1|TP53|NME1|NME2|TAF12|DNAJC5|EIF4G1|CCND2|ID2|KAT5|SLC2A1|LDHA|CDK4|ACTL6A|BAX|MMP9|HSP90AA1|EIF4A1|CREBBP|RPL11,Validated targets of C-MYC transcriptional activation,PID,"(myc transcriptional targets AND cancer) AND (""systems biology"" OR computational)",(myc transcriptional targets AND cancer),45,696,969,80
CCL2|TGFB1|NFATC2|ACTA1|MT2A|TIMP1|NFATC1|CDKN1B|FOSB|JUND|HIF1A|COPS5|CRTC1|PUM3|FABP4|BAG1|TCF7L2|ELF1|PTENP1|PSG1|MAFG|BCL2L11|CEBPD|EGR1|JUN|CTNNB1|ETS1|NFATC3|TH|FOSL2|EDN1|FOSL1|MYC|MYB|PENK|DMTF1|NPPA|NR3C1|CDKN2A|CYR61|FOS|IFNG|COL1A2|MAF|PLAU|CREB1|TP53|CBFB|EP300|GATA2|DUSP12|GJA1|CDK1|RNASEH2A|ESR1|CCND1|CXCL8|NTS|AGXT|CSF2|IL10|IL4|IL5|IL2|MMP9|TRIP6|MMP1|RNF187|ATF3|ATF2|NFKB2|RELB|CD40|TRAF2|CD40LG|TNFRSF13C|LTB|LTBR|MAP3K14|CHUK|BTRC|BIRC2|TRAF3|TNFSF13B,AP-1 transcription factor network,PID,"(AP1 AND cancer) AND (""systems biology"" OR computational)",(AP1 AND cancer),16,695,943,84
STX1A|SNAP25|VAMP2|RAB3GAP2|SYT1|STXBP1|UNC13B|CHRNA1|RIMS1,Effects of Botulinum toxin,PID,"(botulinum toxin AND cancer) AND (""systems biology"" OR computational)",(botulinum toxin AND cancer),11,669,116,9
YWHAQ|HRAS|GAB1|FOXO3|AKT1|PLCG1|REXO2|YWHAZ|NCOA3|PIK3CA|EGR1|NRAS|NTRK1|YWHAH|PIK3R1|YWHAB|TRPV1|YWHAG|YWHAE|EPB41L1|NTF3|SHC1|CAMK2A|CREB1|PRKCD|AGAP2|KRAS|CAMK4|SOS1|TRPC3|CCND1|LAMP5|GSK3B|STAT5A|GRB2|PDPK1,Trk receptor signaling mediated by PI3K and PLC-gamma,PID,"(Trk AND cancer) AND (""systems biology"" OR computational)",(Trk AND cancer),3,661,499,36
GNAO1|HRAS|MAP2K3|AKT1|MAP2K1|DNM1|MAP2K6|ARRB1|RICTOR|GNAI2|GNAI3|MAPK14|GNAI1|NCOA3|PIK3CA|PIK3CB|NRAS|MAPKAP1|MAPK3|PPBP|CXCR3|PIK3R1|GNB1|MTOR|PDPK1|CXCL11|CXCL10|CXCL13|MLST8|KRAS|CCL11|MAP2K2|CXCL9|GNAZ|GNG2|BRAF|MAPK1|MAPK11,CXCR3-mediated signaling events,PID,"(CXCR3 AND cancer) AND (""systems biology"" OR computational)",(CXCR3 AND cancer),11,656,532,38
TGFB1|TGFB3|TGFBR2|FYN|SMAD2|TDGF1|YES1|FLT1|NCOA3|SERPINC1|PRNP|FGR|SLIT3|NRG1|LYN|LAMA1|TGFBR1|APPBP2|PLA2G2A|GPC1|VEGFA|BLK|HCK|FGF2|FGFR1|LCK,Glypican 1 network,PID,"(glypican 1 AND cancer) AND (""systems biology"" OR computational)",(glypican 1 AND cancer),6,653,354,26
CD74|BCL2L1|CD40LG|RPS6KB1|TINAGL1|IGHG1|IGHG3|MAPK14|AKT1|ALOX15|CCL17|VTRNA2-1|MYBL1|PSG1|SHC1|CEBPB|SPI1|EGR2|PIK3CA|LTA|IL4|DOK2|ETS1|JAK2|JAK3|PIK3R1|JAK1|USP2-AS1|MYB|CCL26|ITGB3|IL4R|RETNLB|STAT6|HMGA1|PIGR|MTOR|IGHE|INPP5D|TFF3|PTPN6|CCL11|SOCS5|IL13RA2|IL13RA1|IL2RG|SOCS1|SOCS3|FCER2|IL10|GRB2|PARP14|IRF4|OPRM1|IRS1|IRS2|GTF3A|STAT5B|STAT5A|IL5|COL1A2|COL1A1|BCL6|SELP|AICDA|FES|BCL2L1|AGL|MAPK14|PLCG2|PLCG1|PTK2|PKD2L1|AGT|FRA6G|CDC6|NCOA3|CEBPA|PIK3CA|RPS6KB1|IL4|PTPN6|DOK2|ETS1|TNFRSF8|JAK3|PIK3R1|JAK1|CST2|JAK2|MYRF|PIK3R2|CEBPB|SHC1|RAB3IL1|CXCR4|STAT6|LAMP5|CNGA3|HIST2H3C|SND1|NFKB1|EP300|MC5R|SOCS5|IL13RA1|RELA|SOCS1|SOCS3|SOS1|IL2RG|SYK|GRB2|IL13|DRD3|CBL|MEF2C|GPX3|PRKCZ|MAPK1|HIST3H3|CREBBP|ATF2,IL4-mediated signaling events,PID,"(IL4 AND cancer) AND (""systems biology"" OR computational)",(IL4 AND cancer),6,626,1184,123
VEGFB|HIF1A|AKT1|PLCG1|VTRNA2-1|CAV1|PGF|CALM2|CALM3|PIK3CA|RASA1|MAPK3|MAPK1|PIK3R1|FLT1|PRKCA|PRKCB|VEGFA|HSP90AA1|NRP1|NRP2|NCK1|PTPN11|CD2AP|PRKACA|PDPK1|NANOS3,VEGFR1 specific signals,PID,"(VEGFR1 AND cancer) AND (""systems biology"" OR computational)",(VEGFR1 AND cancer),17,603,267,27
BCL2L1|BRK1|AKT1|REXO2|EGF|PEBP1|CALM2|CALM3|MAP3K2|PIK3CA|PIK3CB|MAP3K1|CAPN2|RNASE1|RAB5A|DIAPH3|PPP2R2A|CREB1|SH2D2A|KRAS|PLD1|PLD2|CHN2|WASL|ARPC1B|PPP2CA|GRB2|YWHAE|HRAS|GAB1|RICTOR|NCKAP1|SLC9A1|EGR1|JUN|RAPH1|ELK1|PIK3R1|KSR1|FOS|ARPC3|ARPC2|ARPC5|ARPC4|RPS6KA3|RPS6KA4|RPS6KA5|PPP5C|VAV2|MEF2C|BAIAP2|ACTR3|ACTR2|RALA|SMAD1|RPS6|NCOA3|STAT3|STAT1|ARF4|MAPK3|MAPK1|MAPK7|MAPK8|DUSP6|LAMP5|MTOR|MLST8|MAPK9|SOS1|RIN1|ZFP36|F2RL2|CDC42|PPP2R1A|EPS8|CYFIP2|EGFR|MAP2K2|MAP2K1|MYLPF|MAP2K5|MAP2K4|IQGAP1|YWHAZ|WASF2|YWHAQ|NRAS|MAPKAP1|YWHAH|YWHAB|USP6NL|YWHAG|GDNF|PRKCA|PRKCD|PRKCZ|DUSP12|ABI1|BRAF|PDPK1|SPATA6|ATF2|STAT3|JAK1|STAT1|EGFR|ELK1|MYC|JUN|PIK3CA|MAP2K1|MAP2K2|MAPK1|MAPK3|PTPN11|GAB1|PDPK1|AKT1|BRAF|ARAF|MAP3K1|GRB2|SHC1|PAK1|MAP2K4|MAPK8|FOS|HRAS|SOS1|SRC|ERRFI1|EGF|CBLB|NCK1|MAX|HSPA7|CRKL|SLC6A4|MCF2|HSPA9|PPP2R3A|KRT35|PCSK5|SH3BGRL|PTK2B|MLVI2|MAP3K2|PSG1|CAV2|EGF|CAV1|EPPK1|COL11A2|IL12RB1|MAP3K3|MAP3K1|GRK2|MAPK8|NDUFA13|JAK2|RELA|ERBB2|IL18|RAB5A|LHB|SNCA|WNK1|CYP2A7|CAMK2A|CREB1|GIF|TNIP1|STK4|SMAD2|CXCL11|CXCL10|MAPK14|SOCS1|SNRPD2|SOCS3|CXCL6|GRB10|FZR1|RBBP7|GRB2|PSMC6|UBB|PTPN12|ASS1P4|MMAB|HIST3H3|SHC1|MTIF2|ACTA2|HLA-C|HRAS|KHDRBS1|HLA-F|GAB1|CC2D1A|CENPCP1|CRK|CTBP1-AS2|AP2B1|ATP5C1|PIAS3|PVT1|CEACAM1|PIK3R3|PIK3R2|PIK3R1|JAK1|KSR1|CEBPB|NR4A1|RNF8|CSK|FOS|EPN1|PTPN23|MMACHC|PLEC|BLVRB|PTPN1|BCAR1|PTPN6|PTPN5|CEBPA|DRD5P1|GJA1|IDDM4|PLSCR1|VAV1|ZPR1|GNAQP1|ASAP1|KRT17|ITM2B|CNGA3|GIT1|FLOT2|PIK3CA|GABRD|IL17RD|ATXN2|RALB|KRT18|HDAC1|ERBB3|SH2D3C|MAP2K1|NEB|HAT1|VAPA|SMAD3|STXBP1|SPRY2|KRT7|CTNND2|CTNND1|KRT9|KRT8|KCNA2|PEBP1|NCOA3|GREB1|STAT3|RACGAP1|TNK2|ST6GALNAC2|MAPK3|ICAM5|MAPK1|SOS1|CST2|NFKB1|MOBP|GALT|RGS16|RPS6KA1|HLA-G|RABIF|APPL1|RPS6KA3|PRKAR1A|FADS3|MC5R|TAF1C|RIPK1|SOS2|KCNJ5|METTL1|GRIK4|PLCG1|LEP|STAT5B|STAT5A|DNM1|PRKD1|CDC42|MAP4K1|PTK2|CDH16|EEF1A1|CD59|EGFR|JUND|MAP2K3|MPRIP|PDE9A|WASL|MAP2K5|CYP1B1|TRR-CCG2-1|ZNF17|IQGAP1|FRA6E|YWHAZ|RAB3IL1|KLF11|NEDD4L|CDKN3|STAM2|FRA6G|DOK2|CBL|MYRF|YWHAB|EYA4|USP6NL|SH3KBP1|GAA|FLOT1|PRKCI|RFXANK|EPS15|PRKCA|PRKCB|HGS|PRKCG|PRKCZ|AP2A1|GPC5|TNC|PDPK1|LCP2|MLX|PGA5|IFNA11P|PTPRR|NCK2|PIK3C2B|MAP3K14|CASP9|PTPRF|PURA|EBP|BRAF|GLP1R|CNN2|ATF1|TGIF1,ErbB1 downstream signaling,PID,"(ErbB1 AND cancer) AND (""systems biology"" OR computational)",(ErbB1 AND cancer),16,601,3820,363
SFTPD|CDKN1B|TFF1|ATP5J|DSCAM|XBP1|SERPINA1|SCGB1A1|APOB|C4BPB|FOS|JUN|NCOA3|NR2F2|FOXA2|SFTPA2|SFTPA1|AP1B1|GCG|CEBPB|COL18A1|SOD1|VTN|ERVH48-1|KLK3|SHH|EP300|NFIC|NFIB|NFIA|PRDM15|ESR1|CCND1|SFI1|BRCA1P1|NRIP1|INS|FOXA1|FOXA3|AR|CYP2C18|NKX3-1|PSG1|CREBBP|POU2F1,FOXA1 transcription factor network,PID,"(FOXA1 AND cancer) AND (""systems biology"" OR computational)",(FOXA1 AND cancer),43,597,529,45
GNAO1|CTNNB1|ARRB2|ECE1|AGT|GNAI1|NCOA2|GRK6|PFKP|CA5AP1|NFKB1|RELA|GNB5|NR4A1|GNB3|GNB2|KCNN1|HIST1H2BO|IFNA8|GNAS|CA7|GNA11|CRHR2|CRHR1,CRH Signalling Pathway,NetPath,"(CRH AND cancer) AND (""systems biology"" OR computational)",(CRH AND cancer),3,594,193,24
EEF2K|SNTA1|STMN1|MAPT|CCND1|MAP2K3|MAP2K6|MAPK12|MAPK13,Signaling mediated by p38-gamma and p38-delta,PID,"((p38 gamma OR p38 delta) AND cancer) AND (""systems biology"" OR computational)",((p38 gamma OR p38 delta) AND cancer),1,589,71,9
RNASE1|PTK2|RPS6KB1|CDKN1A|ITGA5|MAPK14|AKT1|FOXO1|PTPN11|ELF1|CRK|ELF2|DEFB119|LTBR|TEK|PIK3CA|FYN|FGF2|DOK2|MAPK3|ETS1|PXN|PIK3R1|ANGPT2|NFKB1|MAPK8|ANGPT1|ANGPT4|ITGB1|SHC1|FN1|TNIP2|FES|RNY4P3|RASA1|NCK1|PLD2|BMX|GRB2|NANOS3|PLGRKT|GRB14|STAT5A|ELK1|GRB7|MAPK1|AGTR1|MMP2|PAK1,Angiopoietin receptor Tie2-mediated signaling,PID,"(TIE2 AND cancer) AND (""systems biology"" OR computational)",(TIE2 AND cancer),10,574,404,49
CCL2|IL23A|ITGA3|IL12B|CD4|IL23R|TYK2|IL1B|LTBR|STAT4|STAT3|IL18RAP|CEBPD|IL12RB1|PIK3CA|DEFB119|JAK2|PIK3R1|NFKB1|ALOX12B|IL18|IL17F|NFKBIA|IL17A|IFNG|IL18R1|CXCL1|IL19|STAT1|SOCS3|CXCL9|MPO|NANOS2|STAT5A|IL2|CD3E|IL24,IL23-mediated signaling events,PID,"(IL23 AND cancer) AND (""systems biology"" OR computational)",(IL23 AND cancer),4,515,300,37
PTPN11|PDGFRB|IL6ST|PAG1|HRAS|GAB2|PDGFB|FRS3|FRS2|MAP2K2|MAP2K1|IGF1|IFNGR1|NANOS3|BDNF|NTRK3|GNAI3|GNAI1|TEK|STAT1|CEBPD|PIK3CA|NRAS|NTRK1|NTRK2|EGF|JAK2|JAK3|PIK3R1|JAK1|IL2|ANGPT1|KDR|BRAF|IGF1R|NTF3|NTF4|SHC1|IFNG|EGFR|IL6R|VEGFA|RHOA|GAB1|FGFR2|FGFR3|KRAS|IL2RA|IL2RB|SOS1|IL2RG|SDC2|AFDN|IRS1|GRB2|PRKACA|ARHGAP35|CSRP3|LCK,SHP2 signaling,PID,"(SHP2 AND cancer) AND (""systems biology"" OR computational)",(SHP2 AND cancer),13,509,989,59
PLCG1|PTK2|PLD2|GNAO1|HRAS|NFKBIA|EGFR|GAB1|AKT1|PTK2B|GNAQ|CRK|DEFB119|GNAI2|GNAI3|GNAI1|NCOA3|HBEGF|SLC9A3R2|PIK3CB|JUN|ARHGEF1|TIAM1|PRRT2|PXN|PIK3R1|GNA12|LYN|RNASE1|PLCB3|FOS|GNB1|GNA11|PRKCE|PRKCD|TRIP6|ADCY7|NFKB1|RHOA|BCAR1|ADCY1|ADCY4|ADCY5|ADCY6|ADRA1B|CASP3|ADCY2|ADCY3|CXCL8|ADCY8|ADCY9|GNAZ|GSK3B|GNA14|GNA15|GNG2|GNA13|MAPT|MMP9|LPAR2|LPAR3|LPAR1|MMP2|PRKD1,LPA receptor mediated events,PID,"(LPA receptor AND cancer) AND (""systems biology"" OR computational)",(LPA receptor AND cancer),12,508,802,64
PTPA|IL11|HRAS|CNN2|FYN|CST2|GRB2|JAK2|PIK3R2|PIK3R1|GPM6B|IL11RA|YES1,IL-11 Signalling Pathway,NetPath,"(IL11 AND cancer) AND (""systems biology"" OR computational)",(IL11 AND cancer),6,505,76,13
AKT1|INSR|REXO2|STXBP4|INS|YWHAZ|CALM2|CALM3|PPP1R3A|YWHAQ|TBC1D4|YWHAH|YWHAB|YWHAG|YWHAE|PRKCI|RHOQ|YKT6|GYS1|AKT2|PRKCZ|TRIP10|VAMP2|PPP1CC|SLC2A4|STX4|GSK3B|LNPEP|ASIP,Insulin-mediated glucose transport,PID,"((insulin AND glucose transport) AND cancer) AND (""systems biology"" OR computational)",((insulin AND glucose transport) AND cancer),2,502,192,29
ILK|CTNNB1|AKT1|LIMS1|RICTOR|IQGAP1|ZYX|MYL9|XPO1|RUVBL1|RUVBL2|ARHGEF6|ZEB1|JUN|CDC37|PPP1R12A|PARVB|PXN|TNS1|PARVA|PPP1R14B|PPP1R14C|PPP1R14A|RNASE1|NACA|DIAPH1|PARP1|CREB1|ILKAP|AURKA|SNAI1|RHOG|LIMS2|ACTN1|NCK2|CCND1|TACC3|GSK3B|PARVG|GIT2|ARHGEF7|HSP90AA1|CKAP5|ELMO2|CDC42,Integrin-linked kinase signaling,PID,"(integrin linked kinase AND cancer) AND (""systems biology"" OR computational)",(integrin linked kinase AND cancer),6,498,398,45
HDAC1|PDGFRB|HDAC3|IRF8|TMEM126A|CCL5|SMAD4|CDKN1B|CDKN1A|ITGA6|SMAD3|FOXO3|NFYB|NFYA|DDIT3|SFXN3|NDRG1|NDRG2|MXD4|TSC2|RBL1|CEBPA|SPI1|ZBTB17|CSDE1|DNTT|SLC11A1|GADD45A|CFLAR|SMAD2|MYC|FTH1|CDKN2B-AS1|ITGB1|HMGCS2|DNMT3A|ITGB4|GTF2H2|ZFP36L1|CREB1|ID2|ALDH9A1|CLU|LGALS1|EP300|S100A7|TJP2|NFYC|SFRP1|GFI1|CCND1|TBP|TMEFF2|BRCA1P1|ERBB2|DKK1|PTPA|COL1A2|CEBPD|MAX|WNT5A|BCL2|PSG1,Validated targets of C-MYC transcriptional repression,PID,"(MYC transcriptional repression AND cancer) AND (""systems biology"" OR computational)",(MYC transcriptional repression AND cancer),13,492,516,63
PTK2|DOCK1|MAP1B|MAP2K2|MAP2K1|WASL|PITPNA|YES1|NCOA3|PIK3CA|FYN|DCC|MAPK3|MAPK1|PIK3R1|DAPK1|RNASE1|TRIO|UNC5B|UNC5C|UNC5A|CAMK2A|AGAP2|RHOA|BCAR1|NCK1|NTN1|PLCG1|ELMO1|CDC42|PAK1|MYO10,Netrin-mediated signaling events,PID,"(netrin AND cancer) AND (""systems biology"" OR computational)",(netrin AND cancer),7,483,450,32
CDKN1B|HRAS|JUND|PTK2B|OSM|GPM6B|TYK2|CEBPB|STAT3|EGR1|GRB2|JAK2|PIK3R1|JAK1|CST2|TNFRSF8|RELA|IFNA10|FOS|ERBB2|ERBB3|SHC1|NCOA3|HLA-F|CNGA3|LCP2|EP300|RNASEH2A|SOS1|SOCS3|CNN2|GNAQP1|MEF2C|PIAS3|CDK2|CEACAM5|EBP,Oncostatin-M Signalling Pathway,NetPath,"(Oncostatin M AND cancer) AND (""systems biology"" OR computational)",(Oncostatin M AND cancer),4,483,313,37
ERC1|ATM|UBE2D3|IKBKB|RIPK2|IKBKG|LTBR|RAN|MAP3K3|DEFB119|NOD2|NFKB1|MALT1|XPO1|NFKBIA|TRAF6|PRKCA|CHUK|BIRC2|BCL10|TNFRSF1A|BTRC|CYLD|MAP3K7|IKBKB|IKBKG|NFKBIA|RELA|NFKB1|BTRC|RNF11|ITCH|FASLG|FAS|TNF|TNFRSF1A|TAX1BP1|TNFAIP3|TRADD|RIPK1|TRAF6|CYLD|UBE2V1|TRAF2|UBE2N|FADD|TAB2|TAB3,Canonical NF-kappaB pathway,PID,"((NFkb OR NF-kappa B) AND canonical AND cancer) AND (""systems biology"" OR computational)",((NFkb OR NF-kappa B) AND canonical AND cancer),13,468,417,48
SNX1|HRAS|EGFR|RAB7A|RET|ADAM10|PTPN6|CBLL1|CTNND1|DNM2|ABL1|BDNF|IQGAP1|CREBBP|NCOA3|FYN|ARF6|NTRK2|EGF|TIAM1|JUP|SLIT1|CDH1|GNA12|ZBTB33|CDH2|GDNF|RNASE1|IGF1R|RAB5A|IGF2-AS|HGS|DSP|CABLES1|FER|CTNNA1|NME1|CTNNB1|CASP3|ROBO1|RIN2|MET|GFRA1|GNA13|MMP7|MMP3|MEP1B|CDC42,Posttranslational regulation of adherens junction stability and dissassembly,PID,"(""adherens junction"" AND cancer) AND (""systems biology"" OR computational)","(""adherens junction"" AND cancer)",18,465,710,48
TGFB1|FAM120B|THRB|NCOR2|LTBR|NCOA1|RPS6KB1|THRA|CYP27B1|NR1H4|NR1H2|NR1H3|RARA|NR4A1|RXRG|RXRA|RXRB|PPARG|PPARD|RARB|PPARA|NOL7|MBD4|SREBF1|ABCA1|BCL2,RXR and RAR heterodimerization with other nuclear receptor,PID,"(RXR AND RAR AND cancer) AND (""systems biology"" OR computational)",(RXR AND RAR AND cancer),1,463,247,26
SLC6A3|BLK|HSPA4|PRKN|PTK2B|UBE2L3|YES1|NCOA3|SNCAIP|STUB1|PARK7|GRK5|FYN|FGR|TOR1A|CAPN1|LYN|PLCB2|TH|PRKCD|LAMP5|KLK6|HCK|UCHL1|CSNK2A1|PLD1|PLD2|SYK|SNCA|PPP2R5D|LCK,Alpha-synuclein signaling,PID,"(alpha synuclein AND cancer) AND (""systems biology"" OR computational)",(alpha synuclein AND cancer),14,453,311,31
PLCB1|GNAO1|HRAS|MAPK14|MAP2K2|MAP2K1|COL3A1|TRPC6|CRK|EDNRA|EDNRB|CYSLTR2|RHOA|CYSLTR1|NCOA3|SLC9A1|SLC9A3|GNAI2|JUN|GNAI3|MAPK3|PTK2B|MAPK1|JAK2|EDN1|COL1A2|EDN3|EDN2|GNAS|RNASE1|PRKCH|PLCB2|PLCB3|GNAI1|FOS|PRKCA|PRKCB|PRKCE|PRKCD|PRKCG|PRKCQ|PLA2G4A|BCAR1|MAPK8|GNAQ|ADCY4|ADCY5|ADCY6|ADCY7|ADCY1|ADCY2|AKT1|ADCY3|ADCY8|ADCY9|GNAZ|GNA14|GNA15|GNA12|BRAF|GNA11|GNAL|CDC42|MMP1,Endothelins,PID,"(""Endothelins"" AND cancer) AND (""systems biology"" OR computational)","(""Endothelins"" AND cancer)",0,419,979,64
BCL2L1|LIF|BCL2L2|PMAIP1|SLC6A4|PLK3|TIGAR|CASP10|REXO2|MLH1|FDXR|PTENP1|PMS2|CAV1|DGCR8|GADD45A|CACNA1B|PERP|EDN2|TYRP1|DDIT3|DDIT4|PRMT1|CTSD|SNAI2|MDM2|SERPINB5|PCNA-AS1|CCNG1|PIDD1|FOXA1|DDX5|RNF219-AS1|APC|SCN3B|PSG1|RPS27L|CDKN1A|BCL2L2-PABPN1|CARM1|KAT2A|PML|NDRG1|BAK1|SERPINE1|TGFA|JMY|TADA2B|JUN|PPM1J|TRIAP1|PCBP4|RRM2B|CYP27B1|CX3CL1|SPP1|GDF15|PRKAB1|TRRAP|IGFBP3|TP53INP1|TP53I3|AFP|BTG2|TP53|IRF5|BCL2A1|TAF9|GPX1|PRDM1|AIFM2|CCNK|CREBBP|HDAC2|RFWD2|SESN1|SEC14L2|SH2D1A|EPHA2|TNFRSF10C|TNFRSF10B|TNFRSF10A|TNFRSF10D|TSC2|TP63|DROSHA|HIC1|ZNF385A|CD82|DUSP5|APAF1|S100A2|ARID3A|BNIP3L|EGFR|DDB2|EP300|BDKRB2|HSPA1B|HSPA1A|TP73|MET|RNF144B|CSE1L|STEAP3|MAP4K4|MSH2|VCAN|BAX|NFYC|NFYB|NFYA|MCL1|NLRC4|BBC3|SMARCA4|RCHY1|BCL2L14|FAS|BID|RB1|TFDP1|PYCARD|COL18A1|POU4F2|TP53BP2|HGF|DUSP12|CASP6|CCNB1|E2F3|E2F2|E2F1|CASP1|DKK1|PPP1R13B|RGCC|BCL6|MMP2|ATF3|BCL2,Direct p53 effectors,PID,"(p53 effectors AND cancer) AND (""systems biology"" OR computational)",(p53 effectors AND cancer),2,396,1676,141
ITGA8|ITGA9|TGM2|TNC|COL11A2|SSPO|ITGA1|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGA7|ITGA10|ITGA11|FBN1|COL3A1|LAMB1|F13A1|LAMB3|LAMB2|COL2A1|COL11A1|MMDK|THBS2|THBS1|NID1|VCAM1|PLAUR|COL1A2|FGG|FGA|FGB|ITGB1|LAMA1|LAMA2|LAMA4|LAMA5|COL18A1|PLAU|VTN|LINC01684|COL4A6|COL4A5|COL4A4|COL4A3|COL4A2|COL4A1|TGFBI|LAMC2|LAMC1|COL5A2|COL7A1|FN1|NDUFA2|CSPG4|ITGAV|NPNT|COL5A1|SPP1|COL1A1|COL6A1|VEGFA|COL6A3|COL6A2|COL6A5|COL6A6,Beta1 integrin cell surface interactions,PID,"(beta1 integrin interactions AND cancer) AND (""systems biology"" OR computational)",(beta1 integrin interactions AND cancer),5,391,2235,67
ATM|UBE2D3|PRKDC|UBE2L3|FANCD2|XRCC5|XRCC6|SERPINA2|BACH1|CCNE1|FANCG|FANCF|FANCE|FANCC|NBN|FANCA|FANCL|BARD1|MRE11|RBBP8|TP53|PCNA-AS1|TOPBP1|BRCA1P1|CSTF1|CDK2|RAD51|RAD50|EWSR1,BARD1 signaling events,PID,"(BARD1 AND cancer) AND (""systems biology"" OR computational)",(BARD1 AND cancer),11,371,602,29
BAG4|NFKBIA|BIRC3|CYCS|RIPK1|CD247|MAP2K7|DEFB119|CRADD|LTBR|DAXX|TANK|FAS|BID|TRADD|MAP3K5|CFLAR|FADD|NFKB1|MAPK8|APAF1|TRAF1|CHUK|FASLG|CASP6|CASP7|CASP2|CASP3|TNFRSF1A|CASP8|CASP9|MAP3K14|BCL2,HIV-1 Nef Negative effector of Fas and TNF-alpha,PID,"(NEF AND cancer) AND (""systems biology"" OR computational)",(NEF AND cancer),2,365,223,33
RNASE1|NCOA3|PIK3R1|EGFR|PIP5K1A|FYN|FMN1|AKT2|PLCG1|CTNNA1|CTNNB1|AKT1|JUP|PIK3CA|CTNND1|CASR|CDH1|VASP|AJUBA|RHOA|ZYX,E-cadherin signaling in keratinocytes,PID,"((E-cadherin AND keratinocytes) AND cancer) AND (""systems biology"" OR computational)",((E-cadherin AND keratinocytes) AND cancer),1,359,312,21
APLF|POLL|DNTT|PNKP|PRKDC|LIG4|DCLRE1C|POLM|APTX|XRCC5|XRCC4|NHEJ1|XRCC6,DNA-PK pathway in nonhomologous end joining,PID,"(((DNA-PK OR PRKDC) AND (NHEJ OR ""non-homologous end joining"")) AND cancer) AND (""systems biology"" OR computational)","(((DNA-PK OR PRKDC) AND (NHEJ OR ""non-homologous end joining"")) AND cancer)",10,353,146,13
